popularity_log,streams_log
4.465908119,21.10261487
4.17438727,16.12149995
4.356708827,18.20356693
4.077537444,15.50755006
4.110873864,16.43274477
4.304065093,17.47094571
4.234106505,16.58243992
4.304065093,17.5074751
4.290459441,17.55408006
4.33073334,17.87197117
4.343805422,18.06288174
1.386294361,9.154193211
4.369447852,18.09011921
4.394449155,20.77819759
4.262679877,17.67207779
4.418840608,20.81123681
4.158883083,16.4714453
0,8.533460164
4.189654742,16.57412509
4.248495242,17.07254526
4.127134385,16.02757394
4.219507705,16.61902668
4.248495242,16.96004436
4.234106505,16.83079038
4.262679877,17.61227083
4.343805422,18.38103722
4.17438727,16.17834222
4.143134726,16.31890819
4.204692619,16.90607935
4.234106505,16.84152477
4.204692619,16.69014829
0,9.001099726
4.248495242,16.84085916
4.276666119,17.24883351
4.276666119,17.57278355
4.382026635,18.07698413
4.043051268,15.52494999
4.262679877,17.31085593
4.17438727,16.32847934
4.143134726,16.14473262
3.850147602,15.6485412
4.077537444,15.6677009
4.127134385,16.27713152
4.143134726,16.12349624
4.262679877,17.6308654
4.077537444,15.5981129
4.110873864,16.04033679
4.077537444,15.67756709
4.234106505,17.11721959
4.17438727,16.35462702
4.043051268,15.75568141
4.17438727,16.31582982
4.33073334,18.17773767
4.158883083,16.44834018
4.094344562,15.60806471
4.204692619,17.16756531
4.17438727,16.43729485
4.234106505,16.68576679
0,8.672999643
4.060443011,15.76852257
4.158883083,16.20386537
4.276666119,17.64679054
4.17438727,16.47436288
4.060443011,15.49727025
3.988984047,15.33829325
4.234106505,16.87832061
3.912023005,14.99288812
4.158883083,16.10573335
4.110873864,16.45532774
4.025351691,15.85531807
4.127134385,16.17182455
4.158883083,16.2559868
4.276666119,17.55940403
3.988984047,15.58997567
4.007333185,15.47872125
4.077537444,15.52175589
4.094344562,15.80737461
4.025351691,15.59157365
4.204692619,16.87518374
4.043051268,15.52104888
4.158883083,16.38894695
3.951243719,15.51408692
4.077537444,15.52976244
0.693147181,9.227492431
4.127134385,16.51177147
4.007333185,15.40818759
4.127134385,16.39211466
4.094344562,15.59117283
4.276666119,17.48441524
4.077537444,15.61331803
4.17438727,15.98832427
4.290459441,17.66236871
4.043051268,15.42890583
4.127134385,15.97315415
4.248495242,17.15194223
4.043051268,15.75513197
4.276666119,17.48677052
4.262679877,17.69961504
4.043051268,15.71072874
4.127134385,16.19407019
4.094344562,15.69967478
4.077537444,15.60368277
4.025351691,15.49106837
4.094344562,15.49530385
4.343805422,18.12413714
0,9.193499355
3.737669618,13.66480627
3.931825633,15.54569883
4.304065093,17.49301526
3.583518938,13.33098926
0.693147181,9.578864832
3.951243719,15.47267845
4.025351691,15.83521483
4.094344562,15.61517288
4.077537444,15.64652119
3.951243719,15.22663094
4.094344562,15.84973478
4.17438727,15.95798664
4.043051268,15.81456735
4.158883083,16.3093625
4.317488114,17.45524567
4.17438727,16.47131803
4.127134385,16.23582357
4.127134385,16.12794033
3.988984047,15.3180165
3.931825633,15.57249603
3.850147602,15.60044261
4.248495242,16.80600996
4.110873864,16.44340127
